Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-04-03 11:43:36.345,0.029,-0.001,-0.001,-0.001,,
2019-04-03 11:43:36.360,0.044,-0.001,-0.001,-0.001,,
2019-04-03 11:43:36.374,0.058,-0.001,-0.001,-0.001,,
2019-04-03 11:43:36.389,0.073,-0.001,-0.001,-0.001,,
2019-04-03 11:43:36.404,0.088,-0.001,-0.001,-0.001,,
2019-04-03 11:43:36.419,0.103,0.000,0.000,-0.001,,
2019-04-03 11:43:36.434,0.118,0.000,0.000,-0.001,,
2019-04-03 11:43:36.448,0.132,0.000,0.000,-0.001,,
2019-04-03 11:43:36.463,0.147,0.000,0.000,-0.001,,
2019-04-03 11:43:36.478,0.162,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.493,0.177,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.507,0.191,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.522,0.206,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.537,0.221,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.552,0.236,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.567,0.251,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.581,0.265,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.596,0.280,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.611,0.295,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.626,0.310,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.639,0.323,-0.002,0.000,-0.002,,
2019-04-03 11:43:36.655,0.339,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.670,0.354,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.685,0.369,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.699,0.383,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.714,0.398,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.729,0.413,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.744,0.428,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.759,0.443,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.773,0.457,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.788,0.472,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.802,0.486,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.817,0.501,-0.001,0.000,-0.002,,
2019-04-03 11:43:36.831,0.515,0.000,0.000,-0.002,,
2019-04-03 11:43:36.846,0.530,0.000,0.000,-0.002,,
2019-04-03 11:43:36.861,0.545,0.000,0.000,-0.002,,
