Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-03-29 11:00:23.883,0.025,0.000,0.000,0.000,,
2019-03-29 11:00:23.898,0.040,0.000,0.000,0.000,,
2019-03-29 11:00:23.914,0.056,0.000,0.000,0.000,,
2019-03-29 11:00:23.927,0.069,0.000,0.000,0.000,,
2019-03-29 11:00:23.942,0.084,0.000,0.000,0.000,,
2019-03-29 11:00:23.957,0.099,-0.001,0.000,-0.001,,
2019-03-29 11:00:23.972,0.114,-0.001,0.000,-0.001,,
2019-03-29 11:00:23.987,0.129,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.001,0.143,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.017,0.159,0.000,0.000,-0.001,,
2019-03-29 11:00:24.031,0.173,0.000,0.000,-0.001,,
2019-03-29 11:00:24.047,0.189,0.000,0.000,-0.001,,
2019-03-29 11:00:24.060,0.202,0.000,0.000,-0.001,,
2019-03-29 11:00:24.075,0.217,0.000,0.000,-0.001,,
2019-03-29 11:00:24.090,0.232,0.000,0.000,-0.001,,
2019-03-29 11:00:24.105,0.247,0.000,0.000,-0.001,,
2019-03-29 11:00:24.134,0.276,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.149,0.291,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.164,0.306,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.179,0.321,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.193,0.335,0.000,0.000,-0.001,,
2019-03-29 11:00:24.208,0.350,0.000,0.000,-0.001,,
2019-03-29 11:00:24.223,0.365,0.000,0.000,-0.001,,
2019-03-29 11:00:24.238,0.380,0.000,0.000,-0.001,,
2019-03-29 11:00:24.252,0.394,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.267,0.409,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.282,0.424,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.297,0.439,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.311,0.453,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.326,0.468,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.341,0.483,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.356,0.498,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.371,0.513,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.385,0.527,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.400,0.542,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.415,0.557,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.430,0.572,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.444,0.586,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.459,0.601,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.474,0.616,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.489,0.631,0.000,0.000,-0.001,,
2019-03-29 11:00:24.503,0.645,0.000,0.000,-0.001,,
2019-03-29 11:00:24.518,0.660,0.000,0.000,-0.001,,
2019-03-29 11:00:24.533,0.675,0.000,0.000,-0.001,,
2019-03-29 11:00:24.548,0.690,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.562,0.704,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.577,0.719,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.592,0.734,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.607,0.749,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.636,0.778,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.651,0.793,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.666,0.808,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.681,0.823,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.695,0.837,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.710,0.852,-0.001,0.000,-0.001,,
2019-03-29 11:00:24.725,0.867,-0.002,0.000,-0.002,,
2019-03-29 11:00:24.740,0.882,-0.002,0.000,-0.002,,
2019-03-29 11:00:24.755,0.897,-0.002,0.000,-0.002,,
2019-03-29 11:00:24.769,0.911,-0.002,0.000,-0.002,,
2019-03-29 11:00:24.784,0.926,0.000,0.000,-0.002,,
2019-03-29 11:00:24.799,0.941,0.000,0.000,-0.002,,
2019-03-29 11:00:24.814,0.956,0.000,0.000,-0.002,,
2019-03-29 11:00:24.828,0.970,0.000,0.000,-0.002,,
2019-03-29 11:00:24.843,0.985,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.858,1.000,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.873,1.015,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.888,1.030,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.902,1.044,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.917,1.059,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.932,1.074,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.947,1.089,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.960,1.102,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.976,1.118,-0.001,0.000,-0.002,,
2019-03-29 11:00:24.991,1.133,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.006,1.148,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.021,1.163,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.035,1.177,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.050,1.192,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.065,1.207,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.079,1.221,0.000,0.000,-0.002,,
2019-03-29 11:00:25.093,1.235,0.000,0.000,-0.002,,
2019-03-29 11:00:25.108,1.250,0.000,0.000,-0.002,,
2019-03-29 11:00:25.138,1.280,0.000,0.000,-0.002,,
2019-03-29 11:00:25.152,1.294,0.000,0.000,-0.002,,
2019-03-29 11:00:25.167,1.309,0.000,0.000,-0.002,,
2019-03-29 11:00:25.182,1.324,0.000,0.000,-0.002,,
2019-03-29 11:00:25.197,1.339,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.212,1.354,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.226,1.368,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.242,1.384,-0.001,0.000,-0.002,,
2019-03-29 11:00:25.256,1.398,0.000,0.000,-0.002,,
2019-03-29 11:00:25.271,1.413,0.000,0.000,-0.002,,
2019-03-29 11:00:25.285,1.427,0.000,0.000,-0.002,,
2019-03-29 11:00:25.300,1.442,0.000,0.000,-0.002,,
2019-03-29 11:00:25.315,1.457,0.001,0.001,-0.002,,
2019-03-29 11:00:25.330,1.472,0.001,0.001,-0.002,,
2019-03-29 11:00:25.344,1.486,0.001,0.001,-0.002,,
2019-03-29 11:00:25.359,1.501,0.001,0.001,-0.002,,
2019-03-29 11:00:25.374,1.516,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.389,1.531,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.404,1.546,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.418,1.560,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.433,1.575,0.000,0.001,-0.002,,
2019-03-29 11:00:25.448,1.590,0.000,0.001,-0.002,,
2019-03-29 11:00:25.463,1.605,0.000,0.001,-0.002,,
2019-03-29 11:00:25.477,1.619,0.000,0.001,-0.002,,
2019-03-29 11:00:25.492,1.634,0.000,0.001,-0.002,,
2019-03-29 11:00:25.507,1.649,0.000,0.001,-0.002,,
2019-03-29 11:00:25.522,1.664,0.000,0.001,-0.002,,
2019-03-29 11:00:25.536,1.678,0.000,0.001,-0.002,,
2019-03-29 11:00:25.551,1.693,0.000,0.001,-0.002,,
2019-03-29 11:00:25.566,1.708,0.000,0.001,-0.002,,
2019-03-29 11:00:25.581,1.723,0.000,0.001,-0.002,,
2019-03-29 11:00:25.595,1.737,0.000,0.001,-0.002,,
2019-03-29 11:00:25.610,1.752,-0.002,0.001,-0.002,,
2019-03-29 11:00:25.625,1.767,-0.002,0.001,-0.002,,
2019-03-29 11:00:25.655,1.797,-0.002,0.001,-0.002,,
2019-03-29 11:00:25.669,1.811,0.000,0.001,-0.002,,
2019-03-29 11:00:25.684,1.826,0.000,0.001,-0.002,,
2019-03-29 11:00:25.699,1.841,0.000,0.001,-0.002,,
2019-03-29 11:00:25.714,1.856,0.000,0.001,-0.002,,
2019-03-29 11:00:25.728,1.870,0.000,0.001,-0.002,,
2019-03-29 11:00:25.743,1.885,0.000,0.001,-0.002,,
2019-03-29 11:00:25.758,1.900,0.000,0.001,-0.002,,
2019-03-29 11:00:25.773,1.915,0.000,0.001,-0.002,,
2019-03-29 11:00:25.788,1.930,0.000,0.001,-0.002,,
2019-03-29 11:00:25.802,1.944,0.000,0.001,-0.002,,
2019-03-29 11:00:25.817,1.959,0.000,0.001,-0.002,,
2019-03-29 11:00:25.832,1.974,0.000,0.001,-0.002,,
2019-03-29 11:00:25.847,1.989,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.861,2.003,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.876,2.018,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.891,2.033,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.906,2.048,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.921,2.063,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.935,2.077,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.950,2.092,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.965,2.107,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.980,2.122,-0.001,0.001,-0.002,,
2019-03-29 11:00:25.994,2.136,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.009,2.151,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.024,2.166,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.039,2.181,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.053,2.195,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.068,2.210,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.083,2.225,-0.002,0.001,-0.002,,
2019-03-29 11:00:26.098,2.240,-0.002,0.001,-0.002,,
2019-03-29 11:00:26.113,2.255,-0.002,0.001,-0.002,,
2019-03-29 11:00:26.142,2.284,0.000,0.001,-0.002,,
2019-03-29 11:00:26.157,2.299,0.000,0.001,-0.002,,
2019-03-29 11:00:26.172,2.314,0.000,0.001,-0.002,,
2019-03-29 11:00:26.185,2.327,0.000,0.001,-0.002,,
2019-03-29 11:00:26.200,2.342,0.000,0.001,-0.002,,
2019-03-29 11:00:26.216,2.358,0.000,0.001,-0.002,,
2019-03-29 11:00:26.231,2.373,0.000,0.001,-0.002,,
2019-03-29 11:00:26.245,2.387,0.000,0.001,-0.002,,
2019-03-29 11:00:26.260,2.402,0.000,0.001,-0.002,,
2019-03-29 11:00:26.275,2.417,0.000,0.001,-0.002,,
2019-03-29 11:00:26.290,2.432,0.000,0.001,-0.002,,
2019-03-29 11:00:26.304,2.446,0.000,0.001,-0.002,,
2019-03-29 11:00:26.318,2.460,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.334,2.476,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.348,2.490,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.363,2.505,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.377,2.519,0.000,0.001,-0.002,,
2019-03-29 11:00:26.392,2.534,0.000,0.001,-0.002,,
2019-03-29 11:00:26.407,2.549,0.000,0.001,-0.002,,
2019-03-29 11:00:26.422,2.564,0.000,0.001,-0.002,,
2019-03-29 11:00:26.436,2.578,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.451,2.593,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.466,2.608,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.481,2.623,-0.001,0.001,-0.002,,
2019-03-29 11:00:26.495,2.637,0.000,0.001,-0.002,,
2019-03-29 11:00:26.510,2.652,0.000,0.001,-0.002,,
